WNT9A
SOST
BCL7B
CTNND2
DKK2
GATA3
GID8
WNT10A
AMER3
ROR2
MED12
FZD3
FZD2
NDRG2
PPP1CA
TRABD2B
LGR4
EDA
MARK2
CDC73
FAM53B
FOXO1
NKD1
NKD2
EDNRA
CALCOCO1
CCDC88C
AMER2
PAF1
MCC
SDC1
CSNK1A1L
NDP
WLS
INVS
WNT11
FRZB
WNT10B
FZD1
DDIT3
KREMEN1
CD24
APC
RSPO1
PTEN
RARG
DVL2
CTNNB1
GRK6
PIAS4
SENP2
DACT3
LGR6
USP34
PLCG2
CSNK1D
CSNK1A1
CPE
CTHRC1
SOSTDC1
DVL3
LRRK2
CCAR2
MYOC
SFRP1
NPHP3
NR4A2
GRHL3
LRRFIP2
DIXDC1
ROR1
WNT7A
SPIN1
DRD2
SMURF2
MAGI2
RHOA
VANGL1
LDB1
CUL3
GRK5
RYK
WWOX
CAV1
RNF43
CELSR3
CELSR1
PTK7
DACT1
WNT9B
HHEX
ARHGEF19
WNT5A
BARX1
CSNK2A1
FZD9
RTF1
WNT1
DVL1
CCNE1
WNT7B
WNT4
WNT3A
WNT3
PKD2
CSNK1G2
RSPO3
DAAM2
ZBTB33
NID1
ISL1
NHERF1
EDNRB
IFT80
FZD8
WNT2
NXN
GSC
TCF7
SIAH1
BCL9L
TRABD2A
FGF10
FZD5
RNF138
LEO1
KLHL12
SOX9
WNT6
LMBR1L
CDK14
DKK1
FRAT1
CHD8
SMURF1
JUP
SFRP4
CSNK1G3
SHH
RSPO2
DDX3X
AMOTL1
ETV2
GPC3
BCL9
TMEM131L
FGF9
RAC1
YAP1
CELSR2
TCF7L1
RAC3
LATS2
SOX17
HBP1
FZD6
DKK3
STRN
PORCN
LEF1
DDB1
WNT5B
SHISA6
TMEM170B
SKIC8
CSNK2A2
STK3
PRKAA1
SFRP5
TMEM198
PYGO2
LZTS2
RNF146
XIAP
PKD1
TLE5
ZNRF3
CSNK1E
VANGL2
CDC42
TNKS
DAB2
BMP2
DVL1P1
CTR9
CCND1
AXIN1
VPS35
APCDD1
STK4
CUSTOS
FOXD1
TNKS2
GSK3B
GSK3A
CELA1
CYLD
TCF7L2
CDH3
AMER1
VAX2
APC2
TIAM1
CTNND1
TMEM88
HIC1
EDN1
UBAC2
DRAXIN
AMFR
RECK
DAAM1
GPC4
FRAT2
TAX1BP3
WIF1
TLE4
TLE3
TLE2
TLE1
TMEM67
CPZ
CBY1
LRP4
FZD7
RSPO4
MITF
ARL6
HMGXB4
GPC6
TSPAN12
NOTUM
LRP5
AXIN2
FERMT2
CTDNEP1
KREMEN2
AMOTL2
MESD
CCNY
WNT8A
LRP6
SFRP2
RAB5A
HESX1
BTRC
DKKL1
WNT16
DKK4
FBXW4
MACF1
DLX3
DISC1
CTNNBIP1
PRICKLE1
FGF2
KLF4
CCN4
CXXC4
MBD2
NLK
TNIK
FBXW11
TGFB1I1
OTULIN
PYGO1
MARK1
SIAH2
BRD7
WNT2B
WNT8B
ZRANB1
VPS4B
URS0000EFCA53_9606
URS0000472EB8_9606
URS00007E437B_9606
URS0000184017_9606
URS0000B922CB_9606
PRICKLE2
EXT1
URS0000EFD8E1_9606
ctnnb1-lef1_human
frat1-gsk3b_human
pkd1-pkd2_human
CSNK1G1
ZBED3
CSNK2B
FZD4
FZD10
PRKAA2
SCYL2
ADGRA2
