ADIPOQ
ADPGK
AKR1B1
AKT1
AKT2
ALDOA
ALDOB
ALDOC
APOD
ATF3
ATF4
B3GLCT
B4GALT1
BAD
BRAT1
BRS3
C1QTNF12
CHST1
CHST15
CPT1A
CRTC2
CRY1
DCXR
DLAT
ENO1
ENO2
ENO3
FABP5
FBP1
FBP2
FOXK1
FOXK2
FPGT
FUCA1
FUCA2
FUOM
FUT1
FUT10
FUT2
FUT4
FUT5
FUT6
FUT7
FUT8
FUT9
G6PC1
G6PC2
G6PC3
G6PD
GAA
GALE
GALK1
GALK2
GALM
GALT
GAPDH
GAPDHS
GCG
GCK
GDPGP1
GHRL
GLB1
GLYCTK
GOT1
GPD1
GPI
H6PD
HECTD4
HK1
HK2
HK3
HKDC1
IGF2
INPPL1
INS
IRS2
KAT2A
KAT2B
KBTBD2
KCNJ11
KCNQ1
KHK
LEP
LEPR
LIPA
LRP5
MAN2A1
MAN2A2
MAN2B1
MAN2B2
MAN2C1
MAPK14
MDH1
MDH2
MPI
NPY1R
OAS1
OMA1
ONECUT1
PC
PCK1
PCK2
PDHA1
PDHA2
PDHB
PDK1
PDK2
PDK3
PDK4
PDX1
PER2
PFKFB1
PFKFB2
PFKFB3
PFKFB4
PFKL
PFKM
PFKP
PGAM1
PGAM2
PGK1
PGK2
PGM1
PGM2
PGM2L1
PIK3CA
PKM
PMM1
PMM2
POFUT1
POFUT2
PPARA
PPARD
PPARGC1A
PPP4R3B
PRKAA1
RBP4
SDS
SERP1
SERPINA12
SLC25A1
SLC25A10
SLC25A11
SLC25A12
SLC25A13
SLC35A2
SLC37A4
SLC39A14
SORD
TFAP2B
TIGAR
TKFC
TKTL1
TNF
TP53
TPI1
TSTD1
WDR5
WDTC1
