AGO2
ARID1a
ATG5
BCAR4
BCAS2
BNC1
BTG4
CDC20
CDX2
CNOT6L
CTCF
CTNNB1
CXXC1
DCAF13
DDB1
DGCR8
DICER1
DNMT1
DNMT3A
DNMT3L
DPPA3
DTL
EED
EHMT2
EXOSC10
EZH2
GCLM
H3-3B
HIRA
H2AC1
H2AC4
HSF1
HSP90B1
IGF2BP2
KDM1A
KDM1B
KDM4A
KHDC3L
KMT2D
KPNA6
MAPK1
MAPK3
MED12
MGAT1
MLH3
NLRP2
NLRP4
NLRP5
NLRP7
NLRP9
NPM2
OOEP
PADI6
PATL2
PDK1
PLAG1
PUM1
RAD9A
RING1
RNF2
SETD2
SETDB1
SLBP
SMARCA4
TCL1A
TET3
TLE6
TP73
TRIM28
TRIP13
TUBB8
TUT4
TUT7
UBE2A
UCHL1
UHRF1
YAP1
YTHDF2
ZAR1
ZBED3
ZFP36L2
ZFP57
