MXRA8
NADK
PLEKHG5
PER3
FBLIM1
LDLRAD2
TCEA3
AHDC1
FAM76A
COL16A1
CCDC28B
IQCC
ADC
ZNF362
RP11-244H3.1
COL8A2
DNALI1
EXO5
HYI
PTCH2
UROD
MAST2
BEND5
TNNI3K
GSTM4
GSTM2
GSTM5
TRIM45
GNRHR2
ANKRD35
PIAS3
NUDT17
C1orf54
C1orf51
SELENBP1
S100A9
RP11-263K19.4
LMNA
CRABP2
KLHDC9
RXRG
DARS2
GLUL
FAM129A
TMEM9
CSRP1
PPP1R12B
RAB7L1
TRAF5
NENF
WNT9A
C1orf35
GJC2
C1orf198
B3GALNT2
CYS1
LBH
HAAO
EXOC6B
C2orf81
WBP1
TCF7L1
REEP1
AC027612.6
FAHD2CP
NCK2
FBLN7
CCDC115
RBM43
BBS5
FZD7
FN1
PLCD4
FBXO36
SP140L
ITM2C
PER2
NR1D2
CTDSPL
KRBOX1
POMGNT2
UBA7
TRAIP
NAT6
PCBP4
GLT8D1
ACOX2
PODXL2
ASTE1
C3orf70
MYL5
SPON2
NOP14-AS1
AC093323.3
SLIT2
SOD3
IGFBP7
BDH2
ANK2
CPE
C4orf27
PDLIM3
FAM149A
CTD-2228K2.5
ANKH
COL4A3BP
NREP
HSD17B4
PDLIM4
C5orf56
DNAJC18
LINC01024
MIR143HG
GPX3
ADAM19
C1QTNF2
SLIT3
PDLIM7
PRRT1
HSD17B8
TEAD3
TFEB
C6orf226
C7orf50
RNF216
ZNF853
INMT
ZMIZ2
GS1-259H13.2
GPC2
TRIP6
ALKBH4
LRRC17
FLNC
PAXIP1-AS1
PDLIM2
R3HCC1
SCARA3
GPR124
SLC20A2
SULF1
TMEM55A
ZNF251
PSIP1
DCTN3
IL11RA
DNAJB5
TMEM8B
C9orf85
NTRK2
C9orf3
CCDC180
GGTA1P
OLFML2A
HMCN2
POMT1
FAM69B
PTGDS
MAN1B1
ANAPC2
PFKP
ANKRD16
PRTFDC1
CXCL12
GRID1
LDB3
ACTA2
FGFBP3
MARVELD1
KAZALD1
LDB1
AS3MT
METTL10
INPP5A
RP11-108K14.4
EPS8L2
OSBPL5
TRIM3
OLFML1
CYB5R2
MRVI1
DKK3
MICAL2
ARNTL
LMO2
CRY2
ARHGAP1
SLC39A13
FAM180B
C1QTNF4
LTBP3
EFEMP2
CCDC85B
BBS1
MYEOV
CTTN
CAPN5
SYTL2
COLCA2
PCSK7
SCN4B
WNT5B
NTF3
CD9
TAPBPL
LEPREL2
FOXJ2
A2M-AS1
MGP
RERG
SSPN
TMTC1
TSPAN11
PDZRN4
TUBA1A
GLI1
SLC26A10
AGAP2
GLT8D2
IL17D
TNFRSF19
LHFP
MRPS31P5
LMO7
EDNRB
FGF14
RAB20
F10
PARP2
SLC22A17
EFS
DHRS1
PTGDR
LGALS3
TMEM30B
HSPA2
ACTN1
GALNT16
TGFB3
DIO2
C14orf132
CRIP1
C14orf80
BMF
CHST14
EID1
TPM1
RASL12
ITGA11
LOXL1
ISLR
HYKK
WDR90
PKD1
HCFC1R1
ZNF205
GLIS2
ZNF500
C16orf45
BCL7C
C16orf58
C16orf80
B3GNT9
TPPP3
ZDHHC1
SLC12A4
ZNF821
FOXL1
SPG7
TNFSF12
SOX15
ATP1B2
RAI1
MIEF2
MFAP4
LYRM9
RAB34
TMEM98
CACNB1
PGAP3
ERBB2
PLEKHH3
CCR10
MPP2
NXPH3
FAM117A
SGCA
SPATA20
HLF
MRC2
STRADA
MIF4GD
MXRA7
TIMP2
C1QTNF1
AZI1
MPPE1
ABHD3
ZNF521
CNDP2
PQLC1
CIRBP
GAMT
ADAMTSL5
SF3A2
GNA11
PLIN5
CTXN1
NFIX
CD97
TMEM38A
MEF2B
FXYD1
FXYD7
ACTN4
LTBP4
ZNF428
DMPK
IRF2BP1
DBP
FLT3LG
CLEC11A
SIGLEC9
MYADM
BRSK1
SSC5D
ZNF865
ZNF530
ZNF837
TP53INP2
DLGAP4
IFT52
JPH2
NFATC2
ARFGAP1
STMN3
SLC2A4RG
ZNF512B
TCEA2
POFUT2
COL6A2
DGCR14
05-Sep
SCARF2
MMP11
GGT1
TEF
NDUFA6-AS1
FAM19A5
NCAPH2
HDHD1
RBBP7
USP11
GPR173
MAGED2
MAGEH1
ARHGEF9
HEPH
NLGN3
NAP1L3
SRPX2
COL4A5
GLUD2
LINC00087
HAUS7
F8
AGRN
SCNN1D
ACAP3
GLTPD1
ANKRD65
TMEM240
MIB2
SLC35E2B
MORN1
RP4-740C4.6
PANK4
TNFRSF14
FAM213B
TPRG1L
WRAP73
TP73-AS1
SMIM1
DFFB
C1orf174
RNF207
TNFRSF25
ZBTB48
THAP3
VAMP3
SPSB1
CLSTN1
APITD1
EXOSC10
FBXO44
MTHFR
SLC25A34
RP11-169K16.9
RSG1
FBXO42
NECAP2
RP4-798A10.2
CROCCP3
CROCCP2
CROCC
AKR7A2
TMCO4
FAM43B
KIF17
USP48
LINC00339
C1orf213
ASAP3
RP5-886K2.3
HMGCL
STPG1
NIPAL3
RCAN3
SYF2
C1orf63
LDLRAP1
MAN1C1
MTFR1L
PAQR7
PAFAH2
PDIK1L
HMGN2
XKR8
