36951
37135
37500
37681
38412
38777
39142
39692
40787
7SK
A4GALT
AAAS
AARS
AASS
ABAT
ABCA1
ABCA7
ABCB1
ABCC1
ABCC10
ABCC5
ABCD1
ABCD2
ABCD4
ABCF2
ABCF3
ABCG1
ABHD10
ABHD11
ABHD12
ABHD14A
ABHD3
ABHD5
ABI1
ABI2
ABL1
ABL2
ABRACL
ABT1
ABTB2
AC004696.1
AC004815.1
AC004840.9
AC006017.1
AC006111.1
AC006953.1
AC007722.1
AC009299.5
AC010609.2
AC011498.1
AC016182.1
AC016683.6
AC016747.3
AC018628.2
AC020915.4
AC022731.1
AC024940.1
AC025171.1
AC026271.5
AC063977.1
AC069513.3
AC072028.1
AC073072.2
AC073342.1
AC073346.2
AC073655.1
AC084018.1
AC084031.1
AC087069.2
AC087289.1
AC087650.3
AC091167.2
AC091611.1
AC091878.1
AC093838.4
AC097658.1
AC098818.1
AC099784.1
AC100788.1
AC104082.1
AC105287.1
AC114810.1
AC126544.2
AC135178.1
ACAA1
ACACA
ACAD10
ACADM
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD5
ACCS
ACD
ACER3
ACLY
ACN9
ACO1
ACOT13
ACP1
ACPP
ACRBP
ACSF2
ACSL4
ACSL5
ACSM3
ACSS1
ACSS2
ACTA2
ACTN4
ACTR3
ACTR6
ACVR1
ACVR1B
ACYP1
ACYP2
ADAM10
ADAM15
ADAM19
ADAM28
ADAM9
ADAMTS10
ADAMTSL4
ADAP1
ADARB1
ADCK1
ADCK4
ADCK5
ADCY7
ADCY9
ADD1
ADD2
ADD3
ADH5
ADHFE1
ADIPOR1
ADNP
ADNP2
ADO
ADPRHL2
ADRB1
ADRB2
ADRBK2
ADSS
AEBP1
AFF1
AFF3
AFF4
AFG3L2
AFMID
AFTPH
AGAP2
AGBL2
AGFG1
AGFG2
AGGF1
AGMAT
AGPAT1
AGPAT5
AGPAT6
AGTRAP
AGXT2L2
AHCTF1
AHCYL1
AHCYL2
AHI1
AHNAK
AHR
AHSA1
AHSA2
AIDA
AIF1
AIG1
AIM2
AK2
AK3
AK5
AKAP8
AKD1
AKR1A1
AKR7A2
AL020995.1
AL109806.1
AL121587.1
AL158824.1
AL160271.1
AL353698.1
AL356356.2
AL356957.3
AL512288.1
AL590407.7
AL603910.1
AL645728.1
ALAD
ALDH16A1
ALDH18A1
ALDH1A1
ALDH1B1
ALDH2
ALDH3A2
ALDH6A1
ALDOC
ALG13
ALG2
ALG5
ALG8
ALG9
ALKBH1
ALKBH3
ALOX5
ALPK1
ALPL
AMBRA1
AMFR
AMICA1
AMOT
AMPD2
ANAPC10
ANAPC11
ANAPC16
ANAPC2
ANAPC5
ANG
ANGEL2
ANKFY1
ANKIB1
ANKLE2
ANKMY2
ANKRA2
ANKRD11
ANKRD12
ANKRD13B
ANKRD13C
ANKRD13D
ANKRD27
ANKRD28
ANKRD32
ANKRD37
ANKRD40
ANKRD44
ANKRD46
ANKRD49
ANKRD55
ANKS1A
ANO10
ANO6
ANO8
ANTXR2
ANXA2
ANXA3
ANXA4
ANXA6
ANXA7
AOAH
AP000569.2
AP001053.11
AP001877.1
AP1AR
AP1G1
AP1G2
AP1M1
AP1S1
AP1S2
AP2A1
AP2A2
AP2B1
AP3M2
AP5M1
AP5S1
AP5Z1
APAF1
APBA2
APBB1
APBB1IP
APBB2
APEH
APEX2
APH1A
API5
APOA1BP
APOBEC3B
APOBEC3C
APOBEC3D
APOBEC3F
APOBEC3G
APOBR
APOL1
APOL2
APOL6
APOM
APOO
APPL2
APRT
APTX
AQR
ARAP1
ARAP3
ARCN1
ARFGEF2
ARFIP1
ARFIP2
ARHGAP15
ARHGAP17
ARHGAP19
ARHGAP21
ARHGAP24
ARHGAP25
ARHGAP26
ARHGAP27
ARHGAP30
ARHGAP31
ARHGAP32
ARHGAP42
ARHGAP5
ARHGAP9
ARHGEF11
ARHGEF18
ARHGEF40
ARHGEF6
ARHGEF7
ARID2
ARID3A
ARID5A
ARIH1
ARL1
ARL11
ARL13B
ARL15
ARL2
ARL6IP1
ARL8A
ARL8B
ARMC1
ARMC10
ARMC2
ARMC6
ARMC8
ARMCX5
ARNTL
ARPC1A
ARPC1B
ARPC5
ARPC5L
ARPP19
ARRB1
ARRDC1
ARRDC2
ARSA
ARSB
ARSD
ARSG
ARSI
ARSK
AS3MT
ASB1
ASB13
ASB7
ASB8
ASCC3
ASCL2
ASF1A
ASF1B
ASNS
ASNSD1
ASPSCR1
ASRGL1
ASTE1
ASXL1
ASXL2
ATAD1
ATAD5
ATF1
ATF6B
ATF7
ATF7IP2
ATG10
ATG13
ATG14
ATG16L2
ATG2A
ATG2B
ATG4C
ATG4D
ATG9A
ATL1
ATL3
ATM
ATP10A
ATP10D
ATP11A
ATP11C
ATP13A2
ATP13A3
ATP1B1
ATP2A2
ATP2B1
ATP2B4
ATP5A1
ATP5G1
ATP5H
ATP6AP1L
ATP6V0A1
ATP6V0E1
ATP6V0E2
ATP6V1C2
ATP6V1E1
ATP6V1F
ATP6V1H
ATP8A1
ATP8B2
ATP8B4
ATPBD4
ATRN
ATRX
ATXN10
ATXN2
ATXN7
ATXN7L1
ATXN7L3
AUH
AURKC
AUTS2
AVEN
AVIL
B3GALNT2
B3GALTL
B3GNT2
B3GNT7
B4GALT4
B4GALT5
B4GALT6
B4GALT7
BACE1
BACE2
BAG1
BAG3
BAG4
BAG6
BAIAP3
BANK1
BAZ2A
BAZ2B
BBS7
BBS9
BCAP31
BCAR3
BCAS3
BCAT1
BCAT2
BCDIN3D
BCKDHB
BCL10
BCL11A
BCL2
BCL2A1
BCL2L11
BCL2L13
BCL3
BCOR
BCORL1
BCS1L
BDH1
BDH2
BEND3
BEST1
BEST4
BET1
BET1L
BEX4
BGLAP
BICD1
BICD2
BIN2
BIN2P1
BIRC2
BIRC3
BLK
BLMH
BLNK
BLOC1S1
BLVRA
BLVRB
BMF
BMI1
BMP2K
BMP3
BMP6
BNIP2
BNIP3
BOLA3
BOP1
BORA
BPGM
BRAF
BRAP
BRCA1
BRD1
BRD4
BRF2
BRI3BP
BRMS1
BRP44L
BRPF1
BRWD1
BSCL2
BSDC1
BSG
BST1
BST2
BTBD1
BTBD10
BTBD11
BTBD2
BTBD8
BTBD9
BTD
BTF3
BTK
BTLA
BTN2A2
BTN3A1
BTN3A2
BTN3A3
BUB3
BUD13
BYSL
BZW1
BZW2
C10orf11
C10orf12
C10orf2
C10orf26
C10orf28
C10orf46
C10orf54
C10orf57
C10orf76
C11orf1
C11orf21
C11orf24
C11orf30
C11orf31
C11orf46
C11orf49
C11orf57
C11orf58
C11orf63
C11orf67
C11orf73
C11orf75
C11orf80
C12orf32
C12orf4
C12orf47
C12orf60
C12orf61
C12orf65
C12orf66
C14orf101
C14orf118
C14orf126
C14orf149
C14orf159
C14orf182
C14orf2
C14orf28
C14orf49
C14orf93
C15orf24
C15orf29
C15orf38
C15orf41
C15orf42
C15orf44
C15orf48
C16orf13
C16orf52
C16orf57
C16orf62
C16orf72
C17orf48
C17orf53
C17orf57
C17orf62
C17orf63
C17orf65
C17orf70
C17orf75
C18orf1
C18orf21
C19orf12
C19orf35
C19orf44
C19orf52
C19orf60
C19orf73
C1GALT1C1
C1orf112
C1orf123
C1orf131
C1orf138
C1orf162
C1orf186
C1orf189
C1orf198
C1orf201
C1orf212
C1orf35
C1orf43
C1orf50
C1orf56
C1orf63
C1RL
C20orf11
C20orf112
C20orf196
C20orf197
C20orf27
C20orf3
C20orf4
C20orf7
C20orf72
C20orf94
C20orf96
C21orf59
C22orf25
C22orf46
C2CD2L
C2CD3
C2orf43
C2orf44
C2orf49
C2orf56
C2orf89
C3orf17
C3orf18
C3orf19
C3orf23
C3orf35
C3orf39
C4orf33
C4orf34
C5
C5orf22
C5orf24
C5orf25
C5orf28
C5orf42
C5orf43
C5orf44
C5orf45
C5orf62
C6orf120
C6orf170
C6orf203
C6orf48
C6orf70
C6orf72
C6orf89
C7orf49
C7orf50
C7orf53
C7orf58
C8orf33
C8orf40
C8orf44
C8orf55
C8orf59
C8orf73
C8orf76
C9orf123
C9orf41
C9orf64
C9orf89
C9orf91
CA13
CA5B
CABLES1
CABP4
